date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:33	105448/105448	---MCZ	200	added ('OK')	text/html	etag:W/%229ca4c01e00764d8618547351cfaa8111%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-3.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-3.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:33	101848/101848	---MCZ	200	added ('OK')	text/html	etag:W/%22bd739850eab4932949279fdd132acaef%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-4.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-4.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:34	101863/101863	---MCZ	200	added ('OK')	text/html	etag:W/%221f5d85a28126bb9d921f928aaa95a31f%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-5.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-5.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:35	101848/101848	---MCZ	200	added ('OK')	text/html	etag:W/%228589edb69b906165c11f70723b9a1851%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-6.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-6.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:35	102252/102252	---MCZ	200	added ('OK')	text/html	etag:W/%2272f3cc93b652d893d7240a3dbeb2a7df%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-7.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-7.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:35	104113/104113	---MCZ	200	added ('OK')	text/html	etag:W/%2210c7d436a8ccb994a12ddd6e6737f0c3%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-8.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-8.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:35	105664/105664	---MCZ	200	added ('OK')	text/html	etag:W/%22477ce4e7e7c9a0cd01d4da1776972159%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-9.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-9.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:35	100268/100268	---MCZ	200	added ('OK')	text/html	etag:W/%22f6a71ae483b7eb4ebeb810188f222b01%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-10.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-10.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:36	105470/105470	---MCZ	200	added ('OK')	text/html	etag:W/%22e3026e2099008d04e80c296df5cb9dd5%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-11.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-11.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
22:22:36	100258/100258	---MCZ	200	added ('OK')	text/html	etag:W/%22da579abc4724b2a82a0c3283f34f1d14%22	https://demo.hasthemes.com/sheltek-preview/sheltek/index-12.html	C:/Users/pedja/Downloads/RealEstateTemplate/demo.hasthemes.com/sheltek-preview/sheltek/index-12.html	(from https://demo.hasthemes.com/sheltek-preview/sheltek/index-2.html)
